ID,HMDB_ID,standard_metName,metName,Gene_name,Protein_name,Evidence,Annotation
1,HMDB0006247,25-Hydroxycholesterol,25-Hydroxycholesterol,Abca1,Phospholipid-transporting ATPase ABCA1,16611739,Transporter
3,HMDB0000517,L-Arginine,Arginine; L-Arginine,Slc7a1,High affinity cationic amino acid transporter 1,33209975; 17325243; 33639836; 23831616; 22144986; 19067360; Recon2,Transporter
4,HMDB0000030,Biotin,Biotin,Slc5a6,Sodium-dependent multivitamin transporter,27084392,Transporter
5,HMDB0000067,Cholesterol,Cholesterol,Cd36,Platelet glycoprotein 4,21763723; 32531545; 16133421; 10383407; 23247049; 15949682; 12145296; 28928671; 29883404; 34584385; 19718657; 29593722; 25174330; 27890613; 32684173; 18311054; 24371122; 21262584; 16959872; 20338238; 25250848; 23099443; 15168018; 16299001; 26828064; 19147991; 10946357; 23880196; 19016618; 23422832; 21474828; 28122883; 30702457; 21272192; 15136056; 18331615; 17464999; 32058595; 18276752; 31988148; 34603769; 17291449; 20170635; 16503643; 10713080; 10625497; 21674150; 26153221; 12488595; 24733016; 29533793; 12547883; 26582580; 31967154; 28634191; 20112301; 19937569; 21181286; 20360851; 33457418; 21217164; 16123174; 24515116; 18402819; 19028791; 27323079; 18305138; 33211179; 21034810; 11718687; 24162852; 18772361; 32308181; 25703059; 22858201; 28555086; 26759003; 28965954; 16517147; 32982800; 15345670; 19436068; 26832365; 21190831; 25855981; 32952497; 19074161,Transporter
6,HMDB0000073,Dopamine,Dopamine,Slc6a3,Sodium-dependent dopamine transporter,30967134; 12707943; 27217152; 28924877; 17466074,Transporter
7,HMDB0000148,L-Glutamic acid,Glutamate,Slc1a5,Neutral amino acid transporter B(0),29208682,Transporter
8,HMDB0000641,L-Glutamine,L-Glutamine; Glutamine,Slc1a5,Neutral amino acid transporter B(0),31535081; 30452920; 33953707; 34525179; 27154413; 25683269; 31881361; 28798141; 28507054; 25337245; 23213057; 32438035; 30025811; 33632871; 30935948; 33505538; 32422185; 30470977; 30671766; 25759021; 32747796; 31150647; 34054543; 31668020; 29208682; 32996252; 29542325; 30541099; 30071532; 34075790; 31866442; 26724577; 27055152; 33457003; 29337138; 32021249,Transporter
9,HMDB0000641,L-Glutamine,L-Glutamine; Glutamine,Slc38a2,Sodium-coupled neutral amino acid transporter 2,32996252; 25759021; 26724577,Transporter
10,HMDB0000641,L-Glutamine,Glutamine,Slc3a2,4F2 cell-surface antigen heavy chain,33953707; 30671766,Transporter
11,HMDB0000641,L-Glutamine,Glutamine,Slc7a5,Large neutral amino acids transporter small subunit 1,33953707; 30671766; 26724577; 33505538,Transporter
13,HMDB0015531,Iron,Iron,Slc11a2,Natural resistance-associated macrophage protein 2,23506870,Transporter
